pitch,roll,yaw,vgx,vgy,vgz,templ,temph,tof,h,bat,baro,time,agx,agy,agz,timech
4,-3,-176,0,0,0,79,82,526,500,78,96.87,280,84,35,-976,0.102
4,-2,-176,0,0,0,79,82,537,490,78,96.96,280,85,42,-997,0.102
3,-2,-176,0,0,0,79,82,523,490,78,96.7,280,119,44,-979,0.102
3,-1,-176,0,0,0,79,82,527,490,78,97.07,280,90,53,-993,0.102
3,-1,-176,0,0,0,79,82,529,490,78,96.58,280,76,37,-1001,0.102
3,-1,-176,0,0,0,79,82,526,490,78,96.96,280,69,40,-985,0.102
3,-1,-176,0,0,0,79,82,533,490,78,96.91,280,99,15,-1007,0.102
3,-1,-176,0,0,0,79,82,543,490,78,97.13,280,83,36,-991,0.102
3,-1,-176,0,0,0,79,82,519,490,78,96.86,280,75,36,-963,0.102
3,-1,-176,0,0,0,79,82,535,490,78,97.09,280,93,33,-1006,0.102
3,-1,-176,0,0,0,79,82,525,490,78,96.67,281,76,38,-989,0.102
3,-1,-176,0,0,0,79,82,527,490,78,97.11,281,79,26,-965,0.102
3,-1,-176,0,0,0,79,82,530,490,78,96.69,281,99,27,-983,0.102
4,-1,-176,0,0,0,79,82,541,490,78,96.77,281,74,37,-978,0.101
4,-1,-176,0,0,0,79,82,538,490,78,96.9,281,98,35,-976,0.103
5,-2,-176,0,0,0,79,82,548,490,78,96.73,281,87,36,-1181,0.102
6,-2,-176,0,0,-2,79,82,546,500,78,97.06,281,103,32,-1192,0.102
5,-1,-176,0,0,-4,79,82,541,500,78,97.27,281,103,26,-1156,0.051
4,0,-176,0,0,-6,79,82,548,510,78,97.23,281,93,44,-1116,0.101
4,0,-176,0,0,-7,79,82,559,510,78,97.29,281,101,24,-1083,0.104
4,-1,-176,0,0,-8,79,82,568,520,78,97.16,282,106,26,-1079,0.1
4,-1,-176,0,0,-9,79,82,574,530,78,97.46,282,100,48,-1024,0.102
4,-1,-176,0,0,-9,79,82,581,540,77,97.57,282,80,49,-973,0.102
4,-1,-176,0,0,-9,79,82,588,550,77,97.54,282,107,19,-966,0.102
4,-1,-176,0,0,-9,79,82,588,560,77,97.92,282,98,33,-971,0.102
4,-1,-176,0,0,-9,79,82,606,570,77,97.95,282,111,16,-971,0.102
3,-1,-176,0,0,-8,79,82,600,580,77,98.12,282,96,30,-969,0.102
4,-1,-176,0,0,-8,79,82,636,590,77,97.92,282,122,29,-935,0.102
4,-1,-176,0,0,-8,79,82,637,590,77,97.98,282,104,23,-933,0.102
4,-1,-176,0,0,-7,79,82,643,600,77,98.14,282,108,41,-940,0.102
4,-2,-176,0,0,-7,79,82,650,610,77,98.06,283,76,53,-912,0.103
4,-2,-176,0,0,-6,79,82,636,620,77,98.18,283,89,28,-943,0.101
4,-2,-176,0,0,-6,79,82,665,620,77,98.23,283,74,43,-950,0.102
3,-2,-176,0,0,-5,79,82,675,630,77,98.42,283,106,23,-951,0.102
4,-2,-176,0,0,-5,79,82,667,630,77,98.37,283,74,37,-943,0.102
5,-1,-176,0,0,-4,79,82,693,640,77,98.37,283,82,40,-956,0.102
5,-1,-176,0,0,-4,79,82,645,650,77,98.37,283,116,12,-945,0.102
5,-1,-176,0,0,-3,79,82,695,650,77,98.48,283,105,31,-947,0.102
4,-1,-176,0,0,-3,79,82,673,660,77,98.45,283,110,25,-952,0.102
5,-1,-176,0,0,-3,79,82,676,670,77,98.3,284,101,20,-925,0.102
5,0,-176,0,0,-2,79,82,708,670,77,98.79,284,88,28,-946,0.102
4,-1,-176,0,0,-2,79,82,676,670,77,98.93,284,78,40,-959,0.102
4,-1,-176,0,0,-2,79,82,705,670,77,98.77,284,80,40,-948,0.102
3,-2,-176,0,0,-1,79,82,721,680,77,98.79,284,68,32,-931,0.102
3,-2,-176,0,0,-1,79,82,702,680,77,98.68,284,104,36,-999,0.103
3,-2,-176,0,0,-1,79,82,717,680,77,98.99,284,99,57,-959,0.101
4,-2,-176,0,0,-1,79,82,700,680,77,98.71,284,89,24,-991,0.102
4,-2,-176,0,0,-1,79,82,714,680,77,98.8,284,90,51,-978,0.102
4,-1,-176,0,0,-1,79,82,708,680,77,98.87,284,92,60,-945,0.102
3,-2,-176,0,0,-1,79,82,710,680,77,98.67,285,92,47,-952,0.102
4,-2,-176,0,0,0,79,82,719,690,77,98.73,285,101,44,-982,0.103
4,-2,-176,0,0,0,79,82,706,690,77,98.76,285,103,32,-942,0.101
4,-2,-176,0,0,0,79,82,698,690,77,98.71,285,102,30,-972,0.051
5,-1,-176,0,0,0,79,82,697,690,77,98.65,285,104,37,-964,0.102
5,-1,-176,0,0,0,79,82,691,690,77,99,285,99,31,-950,0.102
6,-1,-176,0,0,0,79,82,705,690,77,98.79,285,91,23,-994,0.153
5,-2,-176,0,0,0,79,82,706,690,77,98.64,285,110,28,-999,0.102
5,-2,-176,0,0,0,79,82,735,690,77,98.95,285,124,32,-961,0.103
4,-2,-176,0,0,0,79,82,715,690,77,99,285,106,31,-1000,0.101
5,-2,-176,0,0,0,79,82,724,690,77,98.84,286,117,30,-983,0.103
5,-1,-176,0,0,0,79,82,712,690,77,98.65,286,103,56,-974,0.05
6,-1,-176,0,0,0,79,82,715,690,77,99.07,286,89,20,-976,0.102
6,-1,-176,0,0,0,79,82,700,690,76,98.61,286,112,29,-974,0.102
5,-1,-176,0,0,0,79,82,719,690,76,98.58,286,123,53,-975,0.102
5,-1,-176,0,0,0,79,82,739,690,76,98.8,286,100,23,-941,0.102
5,-1,-176,0,0,0,79,82,715,690,76,98.6,286,102,40,-915,0.102
5,-1,-176,0,0,1,79,82,706,690,76,98.54,286,106,29,-904,0.102
5,-1,-176,0,0,2,79,82,711,680,76,98.5,286,98,37,-879,0.102
5,-1,-176,0,0,3,79,82,690,680,76,98.68,286,119,14,-878,0.102
6,-1,-176,0,0,4,79,82,718,680,76,98.79,287,104,40,-875,0.103
7,-1,-176,0,0,5,79,82,709,670,76,98.51,287,104,43,-865,0.101
6,-1,-176,0,0,6,79,82,703,670,76,98.5,287,113,55,-892,0.102
6,-1,-176,0,0,7,79,82,702,660,76,98.21,287,96,34,-884,0.102
5,-2,-176,0,0,7,79,82,693,660,76,98.58,287,103,54,-905,0.102
5,-2,-176,0,0,8,79,82,684,650,76,98.49,287,93,41,-908,0.102
5,-2,-176,0,0,9,79,81,693,640,76,98.16,287,106,45,-966,0.102
6,-3,-176,0,0,9,79,81,664,630,76,98.2,287,117,55,-953,0.103
6,-3,-176,0,0,9,79,81,657,620,76,98.05,287,102,72,-962,0.101
7,-3,-176,0,0,9,79,81,654,610,76,97.96,287,116,78,-963,0.102
6,-3,-176,0,0,9,79,81,661,600,76,97.79,288,120,53,-978,0.102
6,-3,-176,0,0,9,79,81,624,590,76,97.91,288,106,44,-979,0.102
6,-3,-176,0,0,9,79,81,624,580,76,97.98,288,88,62,-973,0.102
5,-3,-176,0,0,9,79,81,624,570,76,97.72,288,117,69,-992,0.102
5,-3,-176,0,0,10,79,81,625,560,76,97.49,288,101,84,-978,0.104
5,-3,-176,0,0,10,79,81,602,550,76,97.36,288,103,58,-986,0.1
5,-4,-176,0,0,9,79,81,602,540,76,97.32,288,102,67,-977,0.102
5,-4,-176,0,0,10,79,81,575,530,76,97.31,288,100,79,-975,0.102
5,-4,-176,0,0,10,79,81,562,520,76,97.08,288,115,74,-979,0.103
4,-4,-176,0,0,10,79,81,561,510,76,97.06,288,76,79,-972,0.102
4,-4,-176,0,0,10,79,81,552,500,76,97.02,289,125,85,-1000,0.102
4,-4,-176,0,0,10,79,81,530,490,76,96.97,289,107,77,-991,0.102
4,-4,-176,0,0,10,79,81,524,480,76,96.62,289,113,58,-969,0.102
4,-4,-176,0,0,10,79,81,520,470,76,96.6,289,90,80,-973,0.102
4,-5,-176,0,0,10,79,81,510,460,76,96.36,289,96,102,-966,0.102
4,-5,-176,0,0,10,79,81,494,450,76,96.46,289,81,69,-970,0.102
4,-5,-176,0,0,10,79,81,495,440,76,96.49,289,98,78,-1012,0.102
4,-5,-176,0,0,10,79,81,482,430,76,96.51,289,89,88,-1012,0.102
4,-4,-176,0,0,10,79,81,466,420,76,96.43,289,77,83,-1016,0.051
3,-4,-176,0,0,10,79,81,455,410,76,96.15,289,98,77,-967,0.102
4,-4,-176,0,0,10,79,81,441,400,76,95.99,290,74,72,-979,0.102
4,-4,-176,0,0,10,79,81,439,390,76,96.05,290,77,76,-982,0.102
4,-4,-176,0,0,10,79,81,432,380,76,96.14,290,49,99,-987,0.102
4,-4,-176,0,0,10,79,81,404,370,76,95.97,290,79,74,-998,0.102
3,-4,-176,0,0,10,79,81,402,360,76,95.76,290,49,89,-961,0.102
4,-4,-176,0,0,10,79,81,392,350,76,95.31,290,76,78,-1005,0.102
4,-5,-176,0,0,10,79,81,382,340,76,95.44,290,84,82,-1016,0.102
3,-4,-176,0,0,9,79,81,366,330,76,95.29,290,66,64,-987,0.102
3,-5,-176,0,0,9,79,81,357,320,76,95.61,290,96,105,-995,0.102
3,-5,-176,0,0,9,79,81,349,310,76,95.12,290,53,100,-959,0.102
3,-5,-176,0,0,9,79,81,344,300,76,95.19,291,91,80,-993,0.102
3,-5,-176,0,0,10,79,81,330,290,76,95.26,291,87,71,-981,0.102
3,-5,-176,0,0,9,79,81,323,280,76,95.16,291,74,81,-983,0.102
3,-4,-176,0,0,9,79,81,316,270,76,94.76,291,86,97,-982,0.102
3,-4,-176,0,0,9,79,81,297,260,76,94.87,291,48,78,-973,0.102
3,-4,-176,0,0,9,79,81,284,250,76,94.18,291,79,103,-977,0.102
3,-4,-176,0,0,9,79,81,279,240,76,94.46,291,72,54,-1000,0.103
3,-4,-176,0,0,9,79,81,265,230,76,94.6,291,66,73,-982,0.102
4,-4,-176,0,0,9,79,81,258,220,76,94.31,291,64,84,-989,0.102
4,-4,-176,0,0,9,79,81,247,210,76,94.2,291,64,70,-972,0.102
4,-4,-176,0,0,9,79,81,234,200,76,94.04,292,62,74,-973,0.102
4,-4,-176,0,0,9,79,81,224,190,76,94.15,292,54,71,-997,0.102
4,-4,-176,0,0,9,79,81,213,180,76,93.71,292,65,65,-1000,0.102
4,-4,-176,0,0,10,79,81,201,170,76,93.72,292,43,55,-979,0.102
3,-3,-176,0,0,10,79,81,191,160,76,94.12,292,55,82,-965,0.102
3,-4,-176,0,0,10,79,81,181,150,76,93.65,292,48,58,-976,0.102
2,-4,-176,0,0,10,79,81,168,140,76,93.52,292,78,49,-986,0.102
2,-4,-176,0,0,10,79,81,158,130,76,93.43,292,46,61,-978,0.102
2,-3,-176,0,0,10,79,81,147,120,76,93.13,292,58,75,-1001,0.102
2,-3,-176,0,0,9,79,81,136,110,76,92.93,292,39,66,-984,0.102
3,-3,-176,0,0,10,79,81,125,100,76,93.15,293,52,77,-985,0.102
2,-2,-176,0,0,10,79,81,114,90,76,93.17,293,70,71,-1039,0.102
2,-3,-176,0,0,9,79,81,105,80,76,92.94,293,56,57,-1012,0.102
2,-3,-176,0,0,9,79,81,95,70,76,92.82,293,60,49,-1031,0.051
4,-3,-176,0,0,8,79,81,86,60,76,92.83,293,80,77,-1092,0.102
4,-3,-176,0,0,7,79,81,78,50,76,92.58,293,77,74,-1063,0.102
4,-3,-176,0,0,6,78,81,66,40,76,92.62,293,84,66,-1072,0.102
4,-3,-176,0,0,6,78,81,61,40,76,92.23,293,52,62,-1047,0.102
3,-3,-176,0,0,5,78,81,55,30,76,92.34,293,88,59,-1046,0.102
3,-3,-176,0,0,5,78,81,49,20,76,92.61,293,70,60,-1003,0.102
3,-3,-176,0,0,4,78,81,45,20,76,92.16,294,59,37,-1010,0.102
3,-2,-176,0,0,4,78,81,40,10,76,92.25,294,76,50,-1003,0.102
3,-2,-176,0,0,4,78,81,36,10,76,92.12,294,45,35,-953,0.102
3,-2,-176,0,0,4,78,81,31,10,76,91.79,294,76,38,-991,0.102
3,-2,-176,0,0,4,78,81,27,0,76,92.04,294,79,32,-1000,0.102
3,-1,-176,0,0,4,78,81,25,0,76,92.2,294,83,21,-980,0.102
3,-1,-176,0,0,4,77,80,20,0,76,91.75,294,70,30,-998,0.102
3,-1,-176,0,1,4,77,80,15,0,76,91.88,294,79,36,-983,0.102
4,0,-176,0,0,4,77,80,12,-10,76,91.36,294,43,22,-988,0.102
3,0,-176,0,0,4,77,80,10,-10,76,90.55,294,34,24,-1034,0.102
3,0,-176,0,0,4,77,80,10,-20,76,88.92,295,-16,17,-1107,0.102
0,1,-175,1,1,3,77,80,10,-20,76,89.66,295,379,229,-1576,0.102
3,0,-176,0,0,-1,77,80,10,-20,75,89.93,295,-7,-38,-855,0.102
1,0,-175,0,0,1,77,80,10,-20,75,89.92,295,-4,-6,-1011,0.101
0,0,-175,0,0,0,77,80,10,-20,75,90.12,295,47,-9,-1013,0.103
0,0,-175,0,0,0,77,80,10,-20,75,90.36,295,33,-7,-978,0.102
0,0,-175,0,0,0,79,81,10,-20,75,90.56,295,14,-6,-991,0.102
0,0,-175,0,0,0,79,81,10,-20,75,90.79,295,21,0,-1005,0.102
0,0,-175,0,0,0,79,81,10,-20,75,90.53,295,10,0,-986,0.102
0,0,-175,0,0,0,79,81,10,-20,75,90.87,295,3,-2,-978,0.102
0,0,-175,0,0,0,79,81,10,-20,75,91.23,296,-4,2,-988,0.102
0,0,-175,0,0,0,79,81,10,-20,75,91.32,296,-10,-7,-991,0.102
0,1,-175,0,0,0,79,81,10,0,75,91.94,296,-16,-21,-983,0.101
-1,1,-175,0,0,0,79,81,10,0,75,92.03,296,-21,-27,-1001,0.103
-1,1,-175,0,0,1,79,81,10,0,75,92.14,296,-16,-17,-991,0.102
-1,1,-175,0,0,0,79,81,10,0,75,92.17,296,-20,-31,-985,0.102
-1,1,-175,0,0,0,78,80,10,0,75,92.18,296,-8,-27,-998,0.102
-1,1,-175,0,0,0,78,80,10,0,75,92.1,296,-21,-33,-990,0.102
-1,1,-175,0,0,0,78,80,10,0,75,91.77,296,-19,-26,-993,0.102
-1,1,-175,0,0,0,78,80,10,0,75,92.27,296,-22,-28,-989,0.102
-1,1,-175,0,0,0,78,80,10,0,75,92.25,296,-26,-28,-986,0.102